"site","replicate","n","area","dens"
"Big Clam Bay","1",0,7.2325,0
"Big Clam Bay","2",0,7.2325,0
"Big Tree Bay","1",88,15.1825,5.79614687963115
"Big Tree Bay","2",105,15.1825,6.91585707228717
"Blanquizal Bay","1",52,14.61,3.55920602327173
"Blanquizal Bay","2",69,14.61,4.72279260780287
"Chusini Cove 2","1",93,13.2475,7.0201924891489
"Chusini Cove 2","2",46,13.2475,3.47235327420268
"Dunbar Inlet","1",6,9.39,0.638977635782748
"Dunbar Inlet","2",28,9.39,2.98189563365282
"Garcia Cove","1",0,99999,0
"Garcia Cove","2",0,99999,0
"Goat Mouth Inlet","1",0,4.475,0
"Goat Mouth Inlet","2",0,4.475,0
"Guktu Cove 2","1",75,8.805,8.51788756388416
"Guktu Cove 2","2",236,8.805,26.8029528676888
"Hauti Island","1",20,13.2475,1.50971881487073
"Hauti Island","2",29,13.2475,2.18909228156256
"Kaguk Cove","1",1,6.555,0.15255530129672
"Kaguk Cove","2",2,6.555,0.30511060259344
"Kinani Point","1",91,9.67,9.4105480868666
"Kinani Point","2",91,9.67,9.4105480868666
"Mushroom Island","1",0,17.115,0
"Mushroom Island","2",0,17.115,0
"N Fish Egg Island","1",2,21.75,0.0919540229885057
"N Fish Egg Island","2",6,21.75,0.275862068965517
"Natzuhini Bay 2","1",0,16.73,0
"Natzuhini Bay 2","2",0,16.73,0
"Natzuhini Bay 3","1",0,17.115,0
"Natzuhini Bay 3","2",0,17.115,0
"North Pass 2","1",0,7.9825,0
"North Pass 2","2",0,7.9825,0
"Nossuk Bay 2","1",21,7.225,2.90657439446367
"Nossuk Bay 2","2",66,7.225,9.13494809688581
"Nossuk Bay 3","1",2,7.225,0.27681660899654
"Nossuk Bay 3","2",1,7.225,0.13840830449827
"Port Caldera","1",0,5.1325,0
"Port Caldera","2",0,5.1325,0
"Port Refugio","1",0,5.2925,0
"Port Refugio","2",0,5.2925,0
"S Fish Egg Island","1",23,21.75,1.05747126436782
"S Fish Egg Island","2",16,21.75,0.735632183908046
"S Wadleigh Island","1",9,19.95,0.451127819548872
"S Wadleigh Island","2",6,19.95,0.300751879699248
"Salt Lake Bay 2","1",49,13.055,3.75335120643432
"Salt Lake Bay 2","2",85,13.055,6.51091535810034
"Shinaku Inlet","1",65,15.1825,4.28124485427301
"Shinaku Inlet","2",159,15.1825,10.4725835666063
"Soda Bay","1",49,9.9925,4.90367775831874
"Soda Bay","2",18,9.9925,1.80135101325995
"Sukkwan Narrows","1",1,17.115,0.058428279287175
"Sukkwan Narrows","2",0,17.115,0
